Project Name,Code Smells,Bugs,Avg. Complexity,Total TD Mins
sociopedia,30,0,5.12,264
Sociopedia - llama-auth,30,0,5.12,264
Sociopedia - llama-form,35,0,4.3,285
Sociopedia - llama-mypost,32,1,4.94,280
Sociopedia - llama-posts,30,0,5.18,264
Sociopedia - llama-users,29,0,5.12,264
Sociopedia - phi-auth,31,0,5.21,269
Sociopedia - phi-form,30,0,4.45,264
Sociopedia - phi-mypost,30,0,5.03,264
Sociopedia - phi-posts,30,0,5.3,264
Sociopedia - phi-users,29,0,5.03,264
